yomi,word,note
ぼ,久保ユリカ,
さおり,大西沙織,
あやねる,佐倉綾音,
"くま,かくま,かくまし",加隈亜衣,
"いのりっくま,くまねるさおり",いのりっくまねる大西沙織,
としたい,佐倉としたい大西,Tw: @s_toshitai_o
としたいせぶん,セブン-イレブン presents 佐倉としたい大西,Tw: @s_toshitai_o
よるないと,鷲崎健のヨルナイト×ヨルナイト,agqr: 月曜 - 木曜深夜 24:00 - 25:00
わしざき,鷲崎健,
agqr,超!A&G+,
"なかしまゆき,ゆっきー",中島由貴,
"ちょろい,ojikan",矢作・佐倉のちょっとお時間よろしいですか,
"れでぃおくろす,cross",Radio Cross,
